0001310157,FSP GALLERIA NORTH CORP,MA
0001492459,FundCore Institutional Income Trust Inc.,NY
0001660918,"Fundrise East Coast Opportunistic REIT, LLC",DC
0001648956,"Fundrise Equity REIT, LLC",DC
0001768726,"Fundrise Growth eREIT 2019, LLC",DC
0001661000,"Fundrise Growth eREIT II, LLC",DC
0001758744,"Fundrise Growth eREIT III, LLC",DC
0001768760,"Fundrise Income eREIT 2019, LLC",DC
0001660998,"Fundrise Income eREIT II, LLC",DC
0001758745,"Fundrise Income eREIT III, LLC",DC
0001661023,"Fundrise Midland Opportunistic REIT, LLC",DC
0001645583,"FUNDRISE REAL ESTATE INVESTMENT TRUST, LLC",DC
0001660919,"Fundrise West Coast Opportunistic REIT, LLC",DC
0000277807,FUTURE FUND,IL
0000799824,FUTURES EXPANSION FUND LTD PARTNERSHIP,NY
0001164246,G REIT Liquidating Trust,CA
0000912240,G&L REALTY CORP,CA
0001039797,GABLES REALTY LIMITED PARTNERSHIP,GA
0000913782,GABLES RESIDENTIAL TRUST,GA
0001684971,"Gadsden Growth Properties, Inc.",AZ
0001429292,Galiot Capital CORP,NY
0001575965,"Gaming & Leisure Properties, Inc.",PA
0001087395,GANTCHER NATHAN,
0001157614,GEN-NET LEASE INCOME TRUST INC,MI
0000040626,GENERAL GROWTH PROPERTIES,IA
0001651721,"GENERATION INCOME PROPERTIES, INC.",FL
0000923796,GEO GROUP INC,FL
0001591188,"GEO Group REIT, Inc.",FL
0000895648,"GGP, Inc. (fka General Growth Properties Inc. & predecessor to General Growth Properties, Inc.)",IL
0001073018,GILLEY W MICHAEL,
0001544493,Ginkgo Residential Trust Inc.,NC
0001495240,GLADSTONE LAND Corp,VA
0000912898,GLIMCHER REALTY TRUST,OH
0000727346,"GLOBAL HEALTHCARE REIT, INC.",CO
0001459241,"Global Income Trust, Inc.",FL
0001533615,Global Medical REIT Inc.,MD
0001526113,"Global Net Lease, Inc.",NY
0001031235,"Global Self Storage, Inc.",NY
0001278382,GLOBAL SIGNAL INC,FL
0001610075,"GLP Capital, L.P.",PA
0001610074,"GLP Financing II, Inc.",PA
0001055781,GOODRICH JAMES M,GA
0001055779,GOODRICH PENELOPE H,GA
0001119191,GOODWIN DANIEL L,
0001266112,GOVERNMENT PROPERTIES TRUST INC,NE
0001708204,GPT Operating Partnership LP,NY
0001297587,Gramercy Property Trust,NY
0001287701,Gramercy Property Trust Inc.,NY
0001552867,"Granite Hotel Properties, Inc.",TN
0001703644,Granite Point Mortgage Trust Inc.,NY
0001564538,GRANITE REAL ESTATE INVESTMENT TRUST,A6
0001564540,GRANITE REIT INC.,A6
0001614806,Great Ajax Corp.,OR
0001063393,GREAT LAKES REIT,IL
0001417321,"Green Realty Trust, Inc.",IL
0001056682,GREENBLATT PHIL D,GA
0001600626,"Griffin Capital Essential Asset REIT II, Inc.",
0001456016,"Griffin Capital Essential Asset REIT, Inc.",CA
0001455271,"Griffin-American Healthcare REIT II, Inc.",CA
0001566912,"Griffin-American Healthcare REIT III, Inc.",CA
0001632970,"Griffin-American Healthcare REIT IV, Inc.",CA
0000920776,GROVE PROPERTY TRUST,CT
0000812188,GROWTH & GUARANTEE FUND L P,NY
0000763977,GRUBB & ELLIS REALTY INCOME TRUST LIQUIDATING TRUST,CA
0001051610,GRUSS MARTIN D,
0001334914,GSC CAPITAL CORP,NJ
0001368757,"GTJ REIT, INC.",NY
0001478724,"Halvern Realty, Inc.",CA
0001645698,"Hamilton National Income Trust, Inc.",NJ
0001561894,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",MD
0001732217,"HappyNest REIT, Inc.",MD
0001046788,HARRIS PREFERRED CAPITAL CORP,IL
0001654948,"Hartman vREIT XXI, Inc.",TX
0001419521,Hatteras Financial Corp,NC
0001670010,"HC Government Realty Trust, Inc.",NC
0000765880,"HCP, INC.",CA
0000822415,HEALTH EQUITY PROPERTIES INC,NC
0001058214,HEALTHCARE FINANCIAL PARTNERS REIT INC,MD
0000899749,HEALTHCARE REALTY TRUST INC,TN
0001495491,"Healthcare Trust of America Holdings, LP",AZ
0001360604,"HEALTHCARE TRUST OF AMERICA, INC.",AZ
0001561032,"Healthcare Trust, Inc.",NY
0001057210,HERMANS JOSEF C,TX
0001063344,HERSHA HOSPITALITY TRUST,PA
0001764825,"Hertz Group Realty Trust, Inc.",CA
0001262415,HIGHLAND HOSPITALITY CORP,VA
0001661458,"Highlands REIT, Inc.",IL
0000921082,HIGHWOODS PROPERTIES INC,NC
0001585101,"HINES GLOBAL INCOME TRUST, INC.",TX
0001453818,"Hines Global REIT, Inc.",TX
0001262959,HINES REAL ESTATE INVESTMENT TRUST INC,TX
0001020945,HINTON JAMES M,
0001113178,HIRSCH INVESTMENTS LLC,GA
0000311817,HMG COURTLAND PROPERTIES INC,FL
0000900340,HOLLY RESIDENTIAL PROPERTIES INC,WA
0000923118,HOME PROPERTIES INC,NY
0001283683,HOMEBANC CORP,GA
0000911645,HORIZON GROUP INC,MI
0001060744,HORIZON GROUP PROPERTIES INC,IL
0001583077,"Hospitality Investors Trust, Inc.",NY
0000945394,HOSPITALITY PROPERTIES TRUST,MA
0000945980,HOST FUNDING INC,CA
0001070750,"HOST HOTELS & RESORTS, INC.",MD
0001498828,Howard Hughes Corp,TX
0001020948,HRDLICKA GEORGE A,TX
0000048896,HRE PROPERTIES,CT
0001052737,HUGHES JAMES W,NJ
0001547546,"Hunt Companies Finance Trust, Inc.",NY
0001140657,HUNTINGTON PREFERRED CAPITAL INC,OH
